12.0,47
12.2,59
12.4,69
12.6,79
12.8,88
13.0,95
13.2,105
13.4,112
13.6,121
13.8,129
14.0,137
14.2,145
14.4,152
14.6,162
14.8,170
15.0,177
15.2,187
15.4,191
15.6,196
15.8,203
16.0,210
16.2,217
16.4,221
16.6,228
16.8,236
17.2,245
17.4,260
17.6,263
17.7,265
18.1,280
18.3,289
18.4,291
18.5,292
18.6,297
18.9,307
19.0,313
19.4,323
19.6,330
19.8,334
20.0,341
20.4,353
20.6,359
20.9,366
21.0,371
21.3,379
21.5,383
21.7,389
22.0,394
22.1,401
22.3,408
22.6,412
22.8,418
23.1,425
23.6,436
23.8,444
24.0,450
24.2,452
24.4,459
24.6,464
24.8,469
25.0,475
25.2,479
25.4,483
25.6,488
25.8,493
26.0,497
26.2,500
26.4,505
26.6,510
26.8,514
27.0,519
27.2,523
27.4,527
27.6,531
27.8,534
28.0,539
28.2,542
28.4,546
28.6,550
28.8,554
29.0,558
29.2,564
29.4,566
29.6,569
29.8,571
30.0,576
30.2,579
30.4,583
30.6,586
30.7,588
31.0,593
31.2,596
31.4,600
31.6,603
31.8,606
32.0,609
32.2,612
32.4,615
32.6,618
32.8,621
32.9,623
33.1,624
33.4,629
33.6,632
33.8,635
34.0,638
34.2,641
34.4,645
34.6,648
34.8,650
35.0,652
35.2,655
35.4,657
35.6,660
35.8,663
36.0,665
36.2,668
36.4,670
36.6,673
36.8,675
37.0,678
37.2,681
37.4,683
37.6,685
37.8,688
38.0,690
38.2,692
38.4,694
38.6,697
38.8,699
39.0,701
39.2,704
39.4,706
39.6,709
39.8,710
40.0,712
40.2,715
40.4,717
40.6,719
40.8,720
41.0,722
41.2,725
41.4,728
41.6,729
41.8,731
42.0,732
42.2,734
42.4,736
42.6,736
42.8,740
43.0,742
43.2,743
43.4,746
43.6,748
43.8,749
44.0,750
44.2,752
44.4,754
44.6,756
44.8,758
45.0,759
