74,0
101.5,0.2
127,0.4
154.5,0.6
174.5,0.8
197,1
222.5,1.2
246,1.4
273,1.6
288.5,1.8
317.5,2
346.5,2.2
365,2.4
388.5,2.6
408.5,2.8
433.5,3
455.5,3.2
483,3.4
505.5,3.6
523,3.8
553,4
573,4.2
599.5,4.4
625,4.6
641,4.8
666.5,5
698,5.2
716.5,5.4
739.5,5.6
763,5.8
782.5,6
804,6.2
830.5,6.4
863,6.6
884,6.8
899.5,7
